mission,class,subclass,category,dimensionality,locality,length
ESA-Mission1,class_6,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_9,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_11,unknown,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_11,unknown,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_11,unknown,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_4,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_9,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_16,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_18,unknown,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_10,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_19,unknown,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_8,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_10,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_12,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_16,subclass_2,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_10,subclass_1,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_1,unknown,Anomaly,Univariate,Local,Point
ESA-Mission1,class_13,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_4,unknown,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_7,subclass_2,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_12,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_12,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_16,unknown,Rare Event,Multivariate,Local,Subsequence
ESA-Mission1,class_5,unknown,Communication Gap,,,
ESA-Mission1,class_5,unknown,Communication Gap,,,
ESA-Mission1,class_5,unknown,Communication Gap,,,
ESA-Mission1,class_16,subclass_3,Rare Event,Multivariate,Local,Point
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_5,unknown,Communication Gap,,,
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Local,Subsequence
ESA-Mission1,class_22,subclass_1,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_3,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_3,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_1,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_3,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_3,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_1,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_1,Anomaly,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Local,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_15,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_22,subclass_2,Rare Event,Univariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_6,subclass_2,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_2,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_3,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_17,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_21,unknown,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_15,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_14,subclass_1,Rare Event,Multivariate,Global,Subsequence
ESA-Mission1,class_2,subclass_2,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_3,subclass_2,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_3,subclass_2,Anomaly,Multivariate,Local,Subsequence
ESA-Mission1,class_7,subclass_1,Anomaly,Multivariate,Global,Subsequence
ESA-Mission1,class_3,subclass_2,Anomaly,Multivariate,Global,Subsequence
